-20,3.97952e+08
-19,4.29555e+08
-18,3.88675e+08
-17,4.65552e+08
-16,4.36031e+08
-15,3.53943e+08
-14,3.80225e+08
-13,3.91621e+08
-12,4.08836e+08
-11,5.3773e+08
-10,6.0784e+08
-9,7.75319e+08
-8,8.46811e+08
-7,9.94055e+08
-6,1.07041e+09
-5,1.39421e+09
-4,1.89955e+09
-3,2.20596e+09
-2,2.60582e+09
-1,3.57891e+09
0,4.08636e+09
1,4.90844e+09
2,6.13781e+09
3,7.27332e+09
4,8.77522e+09
5,1.23352e+10
6,1.56082e+10
7,1.83839e+10
8,2.35083e+10
9,2.86451e+10
10,3.73114e+10
11,4.64713e+10
12,5.83584e+10
13,7.90416e+10
14,8.65756e+10
15,1.11823e+11
16,1.41487e+11
17,1.7649e+11
18,2.1944e+11
19,2.79673e+11
